中文單位名稱,英文單位名稱,郵遞區號,地址,電話,Lng,Lat
高雄市政府警察局,Kaohsiung City Police Department ,801,高雄市前金區中正四路260號,07 2155555,120.290630, 22.627964
三民第一分局,Sanmin First Precinct,807,高雄市三民區同盟一路367號,07 3118675,120.304803, 22.651794
哈爾濱街派出所,Haerbin St. Police Station,807,高雄市三民區哈爾濱街118號,07 3110785,120.299840, 22.644353
十全路派出所,Shihcyuan Rd. Police Station,807,高雄市三民區十全一路86號,07 3115807,120.311471, 22.645076
三民派出所,Sanmin Police Station,807,高雄市三民區建國三路188號,07 2211460,120.292665, 22.637002
長明派出所,Jhangming St. Police Station,807,高雄市三民區南華路253號,07 2355098,120.303774, 22.638403
前鎮分局,Cianjhen Precinct,806,高雄市前鎮區一心一路286號,07 7242372,120.318310, 22.608151
瑞隆路派出所,Rueilong Police Station,806,高雄市前鎮區班超路49號,07 8221183,120.325870, 22.599800
草衙派出所,Caoya Police Station,806,高雄市前鎮區鎮中路150號,07 8213705,120.319193, 22.586317
前鎮街派出所,Cianjhen st. Police Station,806,高雄市前鎮區前鎮街260號,07 8310309,120.308284, 22.591482
一心路派出所,Yisin Rd. Police Station,806,高雄市前鎮區一心一路286號,07 7264661,120.318312, 22.608153
復興路派出所,Fusing Rd. Police Station,806,高雄市前鎮區復興三路96號,07 3342434,120.310195, 22.610039
左營分局,Zuoying Precinct,813,高雄市左營區博愛三路268號,07 3461122,120.306149, 22.675546
博愛四路派出所,Boai 4th Rd.Police Station,813,高雄市左營區博愛四路437號,07 3487976,120.317338, 22.688576
四海派出所,Sihhai Police Station,813,高雄市左營區明建里自治新村221之3號,07 5811544,120.287039, 22.693983
新莊派出所,Sinjhuang  Police Station,813,高雄市左營區富民路435號,07 5562630,120.311720, 22.668034
啟文派出所,Ciwun  Police Station,813,高雄市左營區中華一路2號,07 5882999,120.286211, 22.671516
舊城派出所,Jioucheng  Police Station,813,高雄市左營區左營大路101號,07 5853036,120.288374, 22.682932
左營派出所,Zuoying  Police Station,813,高雄市左營區進學路1號,07 5813019,120.295542, 22.690595
文自派出所,Wunzih  Police Station,813,高雄市左營區博愛三路268號,07 3501311,120.306149, 22.675546
小港分局,Xiaogang  Precinct,812,高雄市小港區小港路20號,07 8019207,120.345030, 22.565908
漢民路派出所,Hanmin Police Station,812,高雄市小港區宏平路367號,07 8064590,120.359479, 22.569650
大林派出所,Dalin Police Station,812,高雄市小港區鳳林路116號,07 8712237,120.346076, 22.527031
高松派出所,Gaosong Police Station,812,高雄市小港區高松路25號,07 8010795,120.372486, 22.572418
小港派出所,Xiaogang Police Station,812,高雄市小港區平和南路119號,07 8215913,120.336131, 22.563006
桂陽派出所,Gueiyang Police Station,812,高雄市小港區桂陽路338號,07 7912688,120.351321, 22.582210
新興分局,Sinsing Precinct,801,高雄市新興區中山一路100號,07 2212057,120.302208, 22.630659
五福二路派出所,Wufu 2nd Rd.Police Station,800,高雄市新興區五福二路222號,07 2316481,120.302962, 22.623955
中正三路派出所,Jhongjheng 3rd Rd.Police Station,800,高雄市新興區中正三路3號,07 2270189,120.311483, 22.630486
中山路派出所,Jhongshan Police Station,800,高雄市新興區中山一路100號,07 2211209,120.302208, 22.630659
自強路派出所,Zihciang  Rd.Police Station,801,高雄市前金區自強二路63號,07 2910188,120.295682, 22.623893
前金分駐所,Cianjin  Police Station,801,高雄市前金區中正四路174號,07 2212901,120.294575, 22.629183
苓雅分局,Lingya Precinct,802,高雄市苓雅區苓雅一路367號,07 3353760,120.303567, 22.618407
福德二路派出所,Fude 2nd Rd. Police Station ,802,高雄市苓雅區福德二路77號,07 7233343,120.327933, 22.632404
凱旋路派出所,Kaisyuan Rd. Police Station,802,高雄市苓雅區凱旋二路145號,07 2236222,120.321639, 22.629483
三多路派出所,Sanduo Rd. Police Station ,802,高雄市苓雅區三多一路168號,07 7615655,120.330186, 22.622502
民權路派出所,Mincyuan Rd. Police Station ,802,高雄市苓雅區四維二路369號,07 3333631,120.313748, 22.620082
成功路派出所,Chenggong Rd. Police Station ,802,高雄市苓雅區成功一路136號,07 3334793,120.297675, 22.614835
鹽埕分局,Yancheng Precinct,803,高雄市鹽埕區建國四路337號,07 5513424,120.283165, 22.631168
建國四路派出所,Gianguo 4th Rd.Police Station,803,高雄市鹽埕區建國四路337號,07 5512832,120.283165, 22.631168
五福四路派出所,Wufu 4th Rd.Police Station,803,高雄市鹽埕區五福四路107號,07 5512968,120.285209, 22.622612
七賢路派出所,Cisian Rd.Police Station,803,高雄市鹽埕區七賢三路170號,07 5513534,120.282992, 22.627362
鼓山分局,Gushan Precinct,804,高雄市鼓山區鼓山一路105號,07 5514005,120.278157, 22.626688
中洲派出所,Jhongjhou Police Station,805,高雄市旗津區中洲二路66號,07 5712328,120.297695, 22.574786
旗津分駐所,Cijin Police Station,805,高雄市旗津區廟前路137號,07 5715492,120.269078, 22.614067
新濱派出所,Sinbin Police Station,804,高雄市鼓山區臨海三路2號,07 5514863,120.275261, 22.622330
鼓山派出所,Gushan Police Station,804,高雄市鼓山區鼓山二路81號,07 5512673,120.282396, 22.634662
內惟派出所,Neiwei Police Station,804,高雄市鼓山區九如四路1139號,07 5826970,120.279238, 22.659499
龍華派出所,Longhua Police Station,804,高雄市鼓山區中華一路301號,07 5551802,120.292886, 22.660510
楠梓分局,Nanzih Precinct,811,高雄市楠梓區外環西路119號,07 3653190,120.299868, 22.717938
翠屏派出所,Cueiping Police Station,811,高雄市楠梓區德祥路147號,07 3649783,120.309459, 22.726622
楠梓派出所,Nanzih Police Station,811,高雄市楠梓區旗楠路160號,07 3511145,120.328678, 22.731430
後勁派出所,Houjin Police Station,811,高雄市楠梓區後昌路214號,07 3612554,120.309279, 22.715507
右昌派出所,Youchang Police Station,811,高雄市楠梓區右昌街250號,07 3612977,120.289588, 22.712340
加昌派出所,Jiachang Police Station,811,高雄市楠梓區外環西路119號,07 3655961,120.299868, 22.717938
三民第二分局,Sanmin Second Precinct,807,高雄市三民區覺民路366號,07 3814093,120.333730, 22.640787
鼎山派出所,Dinshan Police Station,807,高雄市三民區鼎山街260號,07 3907880,120.321711, 22.659226
陽明派出所,Yangming Police Station,807,高雄市三民區義華路272號,07 3922032,120.337743, 22.643563
鼎金派出所,Dingjin Police Station,807,高雄市三民區鼎力路125號,07 3426730,120.321872, 22.666752
民族派出所,Minzu Police Station?,807,高雄市三民區民族一路208號,07 3822653,120.315171, 22.647853
覺民派出所,Jyuemin Rd. Police Station?,807,高雄市三民區覺民路366號,07 3842108,120.333730, 22.640787
六龜分局,Liouquei  Precinct,844,高雄市六龜區中興里中庄153號,07 6891119,120.633832, 22.997643
高中派出所,Gaojhong Police Station,848,高雄市桃源區興中巷90號,07 6881385,120.718873, 23.130395
拉芙蘭派出所,La Fulan Police Station,848,高雄市桃源區梅蘭里113號,07 6866087,120.812868, 23.240135
復興派出所,Senshan Police Station,848,高雄市桃源區復興里復興巷1號,07 6866087,120.812868, 23.240135
梅山派出所,Meishan Police Station,848,高雄市桃源區梅山里52號,07 6866170,120.826021, 23.264303
茂林分駐所,Maolin Police Station,851,高雄市茂林區茂林里茂林巷13號,07 6801200,120.664189, 22.886638
萬山派出所,Wanshan Police Station,851,高雄市茂林區萬山里1號,07 6801203,120.680511, 22.909592
多納派出所,Duona Police Station,851,高雄市茂林區多納里1號,07 6801208,120.715876, 22.910150
那瑪夏分駐所,Namasia Police Station,849,高雄市那瑪夏區瑪雅里平和巷89號,07 6701168,120.696636, 23.237401
達卡努瓦派出所,Dakanuwa Police Station,849,高雄市那瑪夏區民生里秀嶺巷87號,07 6701118,120.719542, 23.267729
森濤派出所,Sentao Police Station,848,高雄市桃源區寶山里藤枝78號,07 6892474,120.755012, 23.067545
寶山派出所,Baoshan Police Station,848,高雄市桃源區寶山里16號,07 6892464,120.709010, 23.036515
義寶派出所,Yibao Police Station,844,高雄市六龜區民生路1號,07 6891049,120.633834, 22.997640
桃源分駐所,Taoyuan Police Station,848,高雄市桃源區桃源里南進巷183號,07 6861176,120.763771, 23.158517
新威派出所,Sinwei Police Station,844,高雄市六龜區新威路127號,07 6871176,120.628719, 22.902666
荖濃派出所,Laonong Police Station,844,高雄市六龜區裕濃路18號,07 6881014,120.672509, 23.071190
寶來派出所,Baolai Police Station,844,高雄市六龜區中正路21號,07 6881170,120.698708, 23.107535
建山派出所,Jianshan Police Station,848,高雄市桃源區建山巷61號,07 6881170,120.683524, 23.107553
岡山分局,Gangshan Precince,820,高雄市岡山區壽天路10號,07 6212025,120.295292, 22.796599
深水派出所,Shenshuei  Police Station,824,高雄市燕巢區深興路88號,07 6152054,120.389987, 22.772478
舊港派出所,Jiougang  Police Station,827,高雄市彌陀區舊港橫路1號,07 6196994,120.231212, 22.799319
甲圍派出所,Jiawei  Police Station,825,高雄市橋頭區甲樹路1170號,07 6110384,120.296814, 22.741173
鳳雄派出所,Fongsyong  Police Station,824,高雄市燕巢區鳳旗路171號,07 6153054,120.355744, 22.753807
永安分駐所,Yong-an  Police Station,828,高雄市永安區永安路22號,07 6912044,120.225586, 22.818798
燕巢分駐所,Yanchao  Police Station,824,高雄市燕巢區中民路585號,07 6161402,120.362118, 22.793040
橋頭分駐所,Ciaotou  Police Station,825,高雄市橋頭區成功路156號,07 6113555,120.310529, 22.757846
梓官分駐所,Zihguan  Police Station,826,高雄市梓官區梓官路267號,07 6171403,120.266803, 22.760543
彌陀分駐所,Mituo  Police Station,827,高雄市彌陀區中華路16號,07 6176405,120.249795, 22.781302
赤崁派出所,Chihkan  Police Station,826,高雄市梓官區赤崁西路12號,07 6101404,120.247155, 22.738198
嘉興派出所,Jiasing  Police Station,820,高雄市岡山區嘉興路251號,07 6216401,120.303374, 22.821752
前峰派出所,Cianfong Police Station,820,高雄市岡山區中華路53號,07 6265134,120.287841, 22.793686
壽天派出所,Shoutian Police Station,820,高雄市岡山區大仁北路5號,07 6216400,120.302021, 22.801965
旗山分局,Cishan Precinct,842,高雄市旗山區華中街1號,07 6612001,120.483018, 22.887947
旗尾派出所,Ciwei Police Station,842,高雄市旗山區延平二路21號,07 6614306,120.492976, 22.882020
廣興派出所,Guangsing Police Station,843,高雄市美濃區民族路100號,07 6812794,120.564567, 22.913799
廣福派出所,Guangfu Police Station,842,高雄市旗山區旗屏二路18號,07 6613260,120.504440, 22.857277
里關派出所,Liguan Police Station,847,高雄市甲仙區中興路44巷10號,07 6752006,120.606413, 23.111591
杉林分駐所,Shanlin Police Station,846,高雄市杉林區上平里山仙路87之1號,07 6771154,120.541452, 22.974582
中埔派出所,Jhongpu Police Station,845,高雄市內門區中埔里中埔36號,07 6673308,120.450880, 22.919824
嶺口派出所,Lingkou Police Station,842,高雄市旗山區旗南三路212號,07 6651021,120.449622, 22.773647
圓潭派出所,Yuantan Police Station,842,高雄市旗山區旗甲路3段165號,07 6691307,120.503224, 22.932717
茄興派出所,Jiasing Police Station,846,高雄市杉林區木梓里茄苳巷144號,07 6779274,120.544360, 23.021408
甲仙分駐所,Jiasian Police Station,847,高雄市甲仙區和安街42號,07 6751204,120.589559, 23.083169
溝坪派出所,Gouping Police Station,845,高雄市內門區永興里頂庄9號,07 6601670,120.499921, 22.981983
內門分駐所,Neimen Police Station,845,高雄市內門區內門里內門114號,07 6671309,120.462437, 22.941352
吉東派出所,Jidong Police Station,843,高雄市美濃區中正路3段416號,07 6831744,120.534020, 22.854671
美濃分駐所,Meinong Police Station,843,高雄市美濃區美中路262號,07 6812029,120.541942, 22.894510
中壇派出所,Jhongtan Police Station,843,高雄市美濃區中興路1段636號,07 6812789,120.533947, 22.886126
大洲派出所,Dajhuo Police Station,842,高雄市旗山區旗南二路39號,07 6661305,120.466086, 22.847667
龍肚派出所,Longdu Police Station,843,高雄市美濃區龍肚街63號,07 6851797,120.572417, 22.881507
建國派出所,Jianguo Police Station,842,高雄市旗山區華中街1號,07 6612045,120.483018, 22.887947
鳳山分局,Fongshan Precinct,830,高雄市鳳山區經武路36號,07 7456110,120.362853, 22.627605
文山派出所,Wunshan Police Station,830,高雄市鳳山區鳳松路127號,07 7324340,120.363597, 22.641228
新甲派出所,Sinjia Police Station,830,高雄市鳳山區新富路383號,07 7636944,120.348224, 22.615847
埤頂派出所,Piding Police Station,830,高雄市鳳山區中山東路497號,07 7013272,120.380603, 22.628691
忠孝派出所,Jhongsiao Police Station,830,高雄市鳳山區光復路2段188號,07 7402658,120.341859, 22.629703
五甲派出所,Wujia Police Station,830,高雄市鳳山區五甲二路472號,07 7615839,120.334888, 22.597542
鳳崗派出所,Fonggang Police Station,830,高雄市鳳山區曹公路23號,07 7412244,120.357178, 22.626975
成功派出所,Chenggong Police Station,830,高雄市鳳山區中山東路16號,07 7462453,120.364823, 22.620205
過埤派出所,Guopi Police Station,830,高雄市鳳山區保生路69號,07 7923028,120.359961, 22.592538
南成派出所,Nancheng Police Station,830,高雄市鳳山區和成路37、39號,07 7928393,120.337728, 22.589294
林園分局,Linyuan Precinct,832,高雄市林園區林園北路201號,07 6412004,120.394270, 22.509085
昭明派出所,Jhaoming Police Station,831,高雄市大寮區鳳林一路287號,07 6411903,120.406059, 22.544937
大寮分駐所, Daliao  Police Station,831,高雄市大寮區鳳林三路377號,07 7816335,120.397045, 22.602274
忠義派出所,Jhongyi Police Station,831,高雄市大寮區鳳林四路353號,07 7817429,120.382459, 22.619386
中庄派出所,JhongJhuang Police Station,831,高雄市大寮區仁愛路101號,07 7016714,120.395617, 22.634824
中芸派出所,Jhongyun Police Station,832,高雄市林園區力行路250號,07 6412792,120.400435, 22.485851
港埔派出所,Gangpu Police Station,832,高雄市林園區沿海路4段326號,07 6413695,120.376970, 22.504623
林園派出所,Linyuan Police Station,832,高雄市林園區林園北路201號,07 6412013,120.394270, 22.509085
湖內分局,HuNei Precinct,829,高雄市湖內區中山路1段290號,07 6932155,120.244692, 22.886909
竹滬派出所,Jhuhu Police Station,821,高雄市路竹區華山路31號,07 6981824,120.229126, 22.861659
崇德派出所,Chongde Police Station,823,高雄市田寮區崇德路49號,07 6366774,120.380399, 22.877539
砂崙派出所,Shalun Police Station,852,高雄市茄定區白砂路239巷2弄9號,07 6900055,120.184490, 22.913519
蛙潭派出所,Watan Police Station,823,高雄市田寮區七星路11號,07 6361192,120.406617, 22.830624
古亭派出所,Guting Police Station,823,高雄市田寮區古亭路39號,07 6367058,120.402129, 22.893164
湖街派出所,Hujie Police Station,829,高雄市湖內區中山路1段290之1號,07 6934784,120.244412, 22.887028
阿蓮分駐所,Alian Police Station,822,高雄市阿蓮區忠孝路226號,07 6312029,120.328934, 22.879070
田寮分駐所,Tianliao Police Station,823,高雄市田寮區崗安路71-2號,07 6361878,120.359467, 22.870581
茄萣分駐所,Cieding Police Station,852,高雄市茄萣區茄萣路2段1號,07 6902272,120.183281, 22.897361
路竹分駐所,Lujhu Police Station,821,高雄市路竹區國昌路86巷24號,07 6962615,120.259297, 22.855324
湖內派出所,Hunei Police Station,829,高雄市湖內區中正路2段95號,07 6993229,120.210914, 22.908178
一甲派出所,Yijia Police Starion,821,高雄市路竹區金平路356號,07 6962954,120.267768, 22.869708
仁武分局,Renwu Precinct,814,高雄市仁武區中正路135號,07 3719421,120.349036, 22.701895
溪埔派出所,Sipu Police Station,840,高雄市大樹區溪埔路65號,07 6561044,120.444409, 22.727818
大樹分駐所,Dashu Police Station,840,高雄市大樹區中興南路15號,07 6512439,120.433383, 22.690526
仁武派出所,Renwu Police Station,814,高雄市仁武區中正路135號,07 3711432,120.349036, 22.701895
大社分駐所,Dashe Police Station,815,高雄市大社區金龍路63號,07 3511369,120.354083, 22.729152
九曲派出所,Jioucyu Police Station,840,高雄市大樹區久堂路130號,07 6512027,120.418010, 22.658150
仁美派出所,Renmei Police Station,833,高雄市鳥松區仁德路16號,07 7314057,120.394195, 22.650209
大華派出所,Dahua Police Station,833,高雄市鳥松區澄清路821號,07 3701994,120.347701, 22.650096
鳥松分駐所,Niaosong Police Station,833,高雄市鳥松區中正路96號之1,07 7326240,120.364450, 22.659557
澄觀派出所,Chengguan Police Station,814,高雄市仁武區八德西路189號,07 3718188,120.330511, 22.677834
